,Vec_Gram,Classifier,Ac,crossval_train_score_mean,crossval_test_score_mean,crossval_train_score_std,crossval_test_score_std,Time.2
0,cv_1,MultinomialNB(),0.7045101088646968,0.8254625858791094,0.6977474476984953,0.0018989704866324837,0.008137591036762907,10.739227533340454
1,cv_1,BernoulliNB(),0.6905132192846034,0.792876525487208,0.6795295807683653,0.001778420337470877,0.013141841243387253,11.414929389953613
2,cv_1,LogisticRegression(),0.7713841368584758,0.8675165850435539,0.7649131748082514,0.000963493934879221,0.007504703637112868,14.669878959655762
3,cv_1,LinearSVC(),0.8320373250388803,0.9953955491017776,0.8330317959172117,0.0003210509443837521,0.007807417459586195,13.848787546157837
4,cv_1,AdaBoostClassifier(),0.7045101088646968,0.7374504371943735,0.72338542993856,0.001661821292610622,0.008577920813669674,43.88241100311279
5,cv_1,RidgeClassifier(),0.8102643856920684,0.9851218751782918,0.8166274004896724,0.0005261476252145159,0.008274786545555385,16.65353274345398
6,cv_1,PassiveAggressiveClassifier(),0.8227060653188181,0.9997601835645835,0.8240530294563385,7.734094284390091e-05,0.008531142955357968,11.97163462638855
7,cv_1,Perceptron(),0.833592534992224,0.9993668917513725,0.8123979787232456,0.0002021142952429873,0.013480661723010512,11.216336965560913
8,cv_1,RandomForest Classifier,0.6827371695178849,0.9908678460148229,0.7012842349652268,0.0011299681070514344,0.010889515659257287,39.95175004005432
9,cv_2,MultinomialNB(),0.6811819595645412,0.8698475709072037,0.678323058559505,0.001796206803120994,0.01081183186096432,23.321568727493286
10,cv_2,BernoulliNB(),0.6003110419906688,0.7711204930146442,0.5884475479874408,0.0008808727221792819,0.010941586379062722,23.15313220024109
11,cv_2,LogisticRegression(),0.744945567651633,0.8772914451247905,0.7406553204552194,0.0010243513262905828,0.008779606751208046,29.728931188583374
12,cv_2,LinearSVC(),0.8102643856920684,0.9995779256870788,0.8050600467021626,8.791893862926518e-05,0.009841029116634143,27.939278841018677
13,cv_2,AdaBoostClassifier(),0.702954898911353,0.7382274579415515,0.7163055221507434,0.0020575901525030013,0.010573119793208009,88.27572512626648
14,cv_2,RidgeClassifier(),0.7884914463452566,0.9975346976448003,0.7962551839549609,0.0001823081296207724,0.01154145044864163,34.93695950508118
15,cv_2,PassiveAggressiveClassifier(),0.8102643856920684,0.9999328518765955,0.8131747337425361,4.39587656055427e-05,0.008251372383183131,24.030202865600586
16,cv_2,Perceptron(),0.8087091757387247,0.9997026250066716,0.8016924690899933,0.00016863791297396026,0.010260406379273794,23.63990354537964
17,cv_2,RandomForest Classifier,0.6889580093312597,0.9883449924634352,0.6840185169455534,0.0010457351066286555,0.012619337342798154,81.77143359184265
18,cv_3,MultinomialNB(),0.6796267496111975,0.8951528569929934,0.6698616817249102,0.0016504317930143917,0.009955775698241617,37.01100444793701
19,cv_3,BernoulliNB(),0.5303265940902022,0.7375559877500916,0.5346592932684212,0.0007792633255827495,0.015448928480277877,37.34250998497009
20,cv_3,LogisticRegression(),0.7293934681181959,0.8844283363792467,0.7264968460393317,0.0008228110420306864,0.009945924573057348,48.170738697052
21,cv_3,LinearSVC(),0.7978227060653188,0.9997505912384443,0.7917646085825283,6.363328859903434e-05,0.010980254563646846,42.885043144226074
22,cv_3,AdaBoostClassifier(),0.6936236391912908,0.7364816140947564,0.7070679863678562,0.0015134504858715387,0.010500161889663129,140.58462500572205
23,cv_3,RidgeClassifier(),0.7776049766718507,0.9984939615460358,0.7746712295901566,0.0002147049570556563,0.012306398666544023,55.57204222679138
24,cv_3,PassiveAggressiveClassifier(),0.7978227060653188,0.9999520356086581,0.7998800407116491,4.796439144779851e-05,0.008732014038032145,38.233814001083374
25,cv_3,Perceptron(),0.7916018662519441,0.9998657019127599,0.7961668164295048,0.0001068235567716825,0.008383817134928556,37.117358922958374
26,cv_3,RandomForest Classifier,0.6687402799377916,0.9878557562238773,0.6652822917737733,0.0012771452491106732,0.02176215351094416,125.46095752716064
27,tf_1,MultinomialNB(),0.7480559875583204,0.8933111018476085,0.7403091522231213,0.0013721423337769093,0.008714228261334032,10.811343669891357
28,tf_1,BernoulliNB(),0.6905132192846034,0.792876525487208,0.6795295807683653,0.001778420337470877,0.013141841243387253,10.591004371643066
29,tf_1,LogisticRegression(),0.8195956454121306,0.9815342448987854,0.8127424332512245,0.0006578615570528716,0.005899328307458395,19.08329677581787
30,tf_1,LinearSVC(),0.838258164852255,0.9996930354411789,0.8310464324405681,0.00011981386277513221,0.010658231048572182,47.66384720802307
31,tf_1,AdaBoostClassifier(),0.7200622083981337,0.7381890564294535,0.7301201381096503,0.0020357278166713284,0.007533506940414105,32.40064477920532
32,tf_1,RidgeClassifier(),0.7853810264385692,0.9950885854631719,0.7812291282014601,0.0004811763460379856,0.01564733068349939,68.43293857574463
33,tf_1,PassiveAggressiveClassifier(),0.8242612752721618,0.9998177393618489,0.8285420401424013,7.968394463960919e-05,0.007901777942273952,12.716213464736938
34,tf_1,Perceptron(),0.8258164852255054,0.9994724128601954,0.8103271535672614,0.0002653076380806984,0.011980679682722014,12.176227807998657
35,tf_1,RandomForest Classifier,0.6842923794712286,0.9904457422550064,0.7191548160301374,0.001437895863461563,0.012562764178464676,43.589426040649414
36,tf_2,MultinomialNB(),0.7231726283048211,0.9749825085442007,0.7286559642118973,0.0010236493804575727,0.011176739662005124,21.929023027420044
37,tf_2,BernoulliNB(),0.6003110419906688,0.7711204930146442,0.5884475479874408,0.0008808727221792819,0.010941586379062722,21.968766927719116
